algorithm,threads,hashbits,buckets,data_size,duration,cores,memory
count-then-move,32,9,512,16777216,275,32,79176884224
count-then-move,1,10,1024,16777216,3251,32,79096901632
count-then-move,2,10,1024,16777216,2361,32,78946021376
count-then-move,4,10,1024,16777216,1537,32,79101644800
count-then-move,8,10,1024,16777216,824,32,79065624576
count-then-move,16,10,1024,16777216,467,32,79063687168
count-then-move,32,10,1024,16777216,254,32,79235063808
count-then-move,1,11,2048,16777216,3511,32,79075958784
count-then-move,2,11,2048,16777216,2438,32,78969208832
count-then-move,4,11,2048,16777216,1634,32,78817136640
count-then-move,8,11,2048,16777216,795,32,78937255936
count-then-move,16,11,2048,16777216,428,32,78613450752
count-then-move,32,11,2048,16777216,255,32,78877442048
count-then-move,1,12,4096,16777216,3169,32,78770167808
count-then-move,2,12,4096,16777216,2240,32,78979629056
count-then-move,4,12,4096,16777216,1524,32,79035944960
count-then-move,8,12,4096,16777216,826,32,79224205312
count-then-move,16,12,4096,16777216,445,32,79171493888
count-then-move,32,12,4096,16777216,258,32,79070527488
count-then-move,1,13,8192,16777216,3217,32,78706663424
count-then-move,2,13,8192,16777216,2188,32,78822948864
count-then-move,4,13,8192,16777216,1431,32,79053815808
count-then-move,8,13,8192,16777216,728,32,78980489216
count-then-move,16,13,8192,16777216,449,32,78740725760
count-then-move,32,13,8192,16777216,257,32,78978023424
count-then-move,1,14,16384,16777216,3219,32,79136686080
count-then-move,2,14,16384,16777216,2156,32,79220838400
count-then-move,4,14,16384,16777216,1427,32,79376547840
count-then-move,8,14,16384,16777216,822,32,79253422080
count-then-move,16,14,16384,16777216,448,32,79303114752
count-then-move,32,14,16384,16777216,249,32,79184633856
count-then-move,1,15,32768,16777216,3226,32,78847778816
count-then-move,2,15,32768,16777216,2212,32,79021518848
count-then-move,4,15,32768,16777216,1545,32,79159537664
count-then-move,8,15,32768,16777216,767,32,79097569280
count-then-move,16,15,32768,16777216,449,32,78984048640
count-then-move,32,15,32768,16777216,245,32,78728478720
count-then-move,1,16,65536,16777216,3222,32,78407675904
count-then-move,2,16,65536,16777216,2154,32,78398455808
count-then-move,4,16,65536,16777216,1602,32,78635307008
count-then-move,8,16,65536,16777216,792,32,78650327040
count-then-move,16,16,65536,16777216,431,32,78942187520
count-then-move,32,16,65536,16777216,248,32,78598975488
count-then-move,1,17,131072,16777216,3250,32,78555291648
count-then-move,2,17,131072,16777216,2080,32,78886379520
count-then-move,4,17,131072,16777216,1504,32,79011618816
count-then-move,8,17,131072,16777216,749,32,78783574016
count-then-move,16,17,131072,16777216,415,32,78857293824
count-then-move,32,17,131072,16777216,229,32,78764789760
count-then-move,1,18,262144,16777216,3284,32,78947086336
count-then-move,2,18,262144,16777216,2093,32,78866817024
count-then-move,4,18,262144,16777216,1591,32,79053299712
count-then-move,8,18,262144,16777216,740,32,78995820544
count-then-move,16,18,262144,16777216,431,32,78927233024
count-then-move,32,18,262144,16777216,246,32,78574002176
concurrent-output,1,1,2,16777216,3458,32,78633697280
concurrent-output,2,1,2,16777216,3432,32,78878261248
concurrent-output,4,1,2,16777216,1871,32,79096578048
concurrent-output,8,1,2,16777216,1352,32,79071277056
concurrent-output,16,1,2,16777216,1174,32,79311253504
concurrent-output,32,1,2,16777216,666,32,79565516800
concurrent-output,1,2,4,16777216,3461,32,79277961216
concurrent-output,2,2,4,16777216,3458,32,79258357760
concurrent-output,4,2,4,16777216,1775,32,79189057536
concurrent-output,8,2,4,16777216,1424,32,79461740544
concurrent-output,16,2,4,16777216,1184,32,79370190848
concurrent-output,32,2,4,16777216,682,32,79006834688
concurrent-output,1,3,8,16777216,3473,32,78911987712
concurrent-output,2,3,8,16777216,3614,32,78919098368
concurrent-output,4,3,8,16777216,1762,32,79111028736
concurrent-output,8,3,8,16777216,1343,32,79104880640
concurrent-output,16,3,8,16777216,1210,32,79347867648
concurrent-output,32,3,8,16777216,606,32,79346130944
concurrent-output,1,4,16,16777216,3467,32,79197564928
concurrent-output,2,4,16,16777216,3485,32,79340515328
concurrent-output,4,4,16,16777216,1862,32,79238578176
concurrent-output,8,4,16,16777216,1084,32,79180750848
concurrent-output,16,4,16,16777216,1030,32,79186423808
concurrent-output,32,4,16,16777216,703,32,79080341504
concurrent-output,1,5,32,16777216,3506,32,79381098496
concurrent-output,2,5,32,16777216,3051,32,79322841088
concurrent-output,4,5,32,16777216,1810,32,79531425792
concurrent-output,8,5,32,16777216,914,32,79188320256
concurrent-output,16,5,32,16777216,702,32,79185281024
concurrent-output,32,5,32,16777216,665,32,79013040128
concurrent-output,1,6,64,16777216,3580,32,78887993344
concurrent-output,2,6,64,16777216,2710,32,78856347648
concurrent-output,4,6,64,16777216,1691,32,78790897664
concurrent-output,8,6,64,16777216,964,32,79021981696
concurrent-output,16,6,64,16777216,569,32,79291940864
concurrent-output,32,6,64,16777216,535,32,79180558336
concurrent-output,1,7,128,16777216,3589,32,79073005568
concurrent-output,2,7,128,16777216,2487,32,79282556928
concurrent-output,4,7,128,16777216,1552,32,79306522624
concurrent-output,8,7,128,16777216,893,32,79005507584
concurrent-output,16,7,128,16777216,623,32,79232114688
concurrent-output,32,7,128,16777216,372,32,79169216512
concurrent-output,1,8,256,16777216,3590,32,79011176448
concurrent-output,2,8,256,16777216,2433,32,79071887360
concurrent-output,4,8,256,16777216,1518,32,79294971904
concurrent-output,8,8,256,16777216,922,32,79154880512
concurrent-output,16,8,256,16777216,455,32,79115689984
concurrent-output,32,8,256,16777216,413,32,79023767552
concurrent-output,1,9,512,16777216,3645,32,78919270400
concurrent-output,2,9,512,16777216,2287,32,79129812992
concurrent-output,4,9,512,16777216,1502,32,79157501952
concurrent-output,8,9,512,16777216,805,32,79264530432
concurrent-output,16,9,512,16777216,505,32,78956605440
concurrent-output,32,9,512,16777216,327,32,78913654784
concurrent-output,1,10,1024,16777216,3684,32,78886699008
concurrent-output,2,10,1024,16777216,2385,32,79061827584
concurrent-output,4,10,1024,16777216,1519,32,78818975744
concurrent-output,8,10,1024,16777216,841,32,79074783232
concurrent-output,16,10,1024,16777216,454,32,78977093632
concurrent-output,32,10,1024,16777216,266,32,79115796480
concurrent-output,1,11,2048,16777216,4051,32,79050915840
concurrent-output,2,11,2048,16777216,2446,32,78931062784
concurrent-output,4,11,2048,16777216,1621,32,78909476864
concurrent-output,8,11,2048,16777216,789,32,79073234944
concurrent-output,16,11,2048,16777216,436,32,78764244992
concurrent-output,32,11,2048,16777216,272,32,78699950080
concurrent-output,1,12,4096,16777216,3679,32,78732075008
concurrent-output,2,12,4096,16777216,2394,32,79003967488
concurrent-output,4,12,4096,16777216,1504,32,78989348864
concurrent-output,8,12,4096,16777216,877,32,79243374592
concurrent-output,16,12,4096,16777216,462,32,79178493952
concurrent-output,32,12,4096,16777216,250,32,78855327744
concurrent-output,1,13,8192,16777216,3772,32,78797135872
concurrent-output,2,13,8192,16777216,2263,32,78740037632
concurrent-output,4,13,8192,16777216,1356,32,79019827200
concurrent-output,8,13,8192,16777216,765,32,78763659264
concurrent-output,16,13,8192,16777216,444,32,78724390912
concurrent-output,32,13,8192,16777216,249,32,78979678208
concurrent-output,1,14,16384,16777216,3811,32,79002656768
concurrent-output,2,14,16384,16777216,2259,32,78881058816
concurrent-output,4,14,16384,16777216,1476,32,79111049216
concurrent-output,8,14,16384,16777216,770,32,79052578816
concurrent-output,16,14,16384,16777216,443,32,78992244736
concurrent-output,32,14,16384,16777216,248,32,79209693184
concurrent-output,1,15,32768,16777216,3845,32,79382745088
concurrent-output,2,15,32768,16777216,2299,32,79233241088
concurrent-output,4,15,32768,16777216,1366,32,79227920384
concurrent-output,8,15,32768,16777216,762,32,79157100544
concurrent-output,16,15,32768,16777216,447,32,79070957568
concurrent-output,32,15,32768,16777216,250,32,78722084864
concurrent-output,1,16,65536,16777216,3947,32,78609727488
concurrent-output,2,16,65536,16777216,2236,32,78755475456
concurrent-output,4,16,65536,16777216,1435,32,78777864192
concurrent-output,8,16,65536,16777216,766,32,79034683392
concurrent-output,16,16,65536,16777216,414,32,79058145280
concurrent-output,32,16,65536,16777216,249,32,78667603968
concurrent-output,1,17,131072,16777216,4219,32,78587846656
concurrent-output,2,17,131072,16777216,2252,32,78713397248
concurrent-output,4,17,131072,16777216,1276,32,78791946240
concurrent-output,8,17,131072,16777216,871,32,78709178368
concurrent-output,16,17,131072,16777216,391,32,78665134080
concurrent-output,32,17,131072,16777216,227,32,79066808320
concurrent-output,1,18,262144,16777216,4424,32,78560350208
concurrent-output,2,18,262144,16777216,2197,32,78523842560
concurrent-output,4,18,262144,16777216,1540,32,78811074560
concurrent-output,8,18,262144,16777216,739,32,79105101824
concurrent-output,16,18,262144,16777216,377,32,78847483904
concurrent-output,32,18,262144,16777216,244,32,78770716672
concurrent-output,1,1,2,16777216,3150,32,78828785664
concurrent-output,2,1,2,16777216,3260,32,78915235840
concurrent-output,4,1,2,16777216,1838,32,79232356352
concurrent-output,8,1,2,16777216,1398,32,79533821952
concurrent-output,16,1,2,16777216,1242,32,79428251648
concurrent-output,32,1,2,16777216,660,32,79333027840
concurrent-output,1,2,4,16777216,3460,32,79002673152
concurrent-output,2,2,4,16777216,3577,32,79065026560
concurrent-output,4,2,4,16777216,1676,32,79046901760
